company,segment,revenue_b,period,source_url,note
Dell ISG,Server & infrastructure,43.6,FY2025,https://www.sec.gov/Archives/edgar/data/0001571996/000157199625000014/exhibit991earnings8kq4fy25.htm,Infrastructure Solutions Group +29% YoY (incl storage); AI servers fast-growing
Supermicro,GPU systems,22.0,FY2025,https://www.datacenterknowledge.com/servers/ai-server-market-update-vendors-shift-from-silicon-to-services,~+47% YoY; GPU-system pure-play
HPE Server,Servers,19.0,FY2025,https://www.ciodive.com/news/dell-hpe-ai-server-market-growth/759329/,Approx FY25 server segment; AI systems ramping
