company,category,revenue_b,period,source_url,note
Arista,AI/DC pure-play,9.0,2025,https://companiesmarketcap.com/arista-networks/revenue/,AI back-end & cloud datacentre networking; +29% YoY
Ciena,Optical pure-play,4.77,FY2025,https://www.sec.gov/Archives/edgar/data/0000936395/000162828025056425/ex9912025q4earningspressre.htm,Optical/DCI; AI-driven interconnect demand
Nokia,Diversified (total),21.5,2025,https://www.nokia.com/newsroom/nokia-corporation-financial-report-for-q4-2025-and-full-year-2025/,EUR 19.9B total; Network Infrastructure segment +9%; incl mobile
Cisco,Diversified (total),56.7,FY2025,https://investor.cisco.com/news/news-details/2025/CISCO-REPORTS-FOURTH-QUARTER-AND-FISCAL-YEAR-2025-EARNINGS/default.aspx,Total revenue; Networking segment +12%; incl security/collab
