company,revenue_b,as_of,source_url,note
Anthropic,65,2026-07,https://techcrunch.com/2026/08/17/anthropics-annualized-revenue-surges-to-65b/,Run-rate; $1B (Dec-24) -> $9B (Dec-25) -> $65B (Jul-26); reported gross of cloud-reseller spend
OpenAI,40,2026-08,https://techcrunch.com/2026/08/17/anthropics-annualized-revenue-surges-to-65b/,Run-rate; doubled from $20B at end-2025; measured closer to net
xAI,0.50,2025-12,https://sacra.com/c/xai/,Standalone run-rate exiting 2025; excludes X advertising
Mistral,0.40,2026-01,https://sacra.com/c/mistral/,ARR; targeting above $1B by end-2026
