company,year,revenue_b,capex_b,source_url,note
TSMC,2022,75.9,36.3,https://investor.tsmc.com,Pre-AI peak then 2023 chip downturn
TSMC,2023,69.3,30.4,https://www.sec.gov/Archives/edgar/data/0001046179/000104617925000004/a4q24e_withguidancexfinal.htm,Revenue dip in the cyclical downturn
TSMC,2024,90.1,29.8,https://www.sec.gov/Archives/edgar/data/0001046179/000104617925000004/a4q24e_withguidancexfinal.htm,AI/HPC demand inflection
TSMC,2025,122.0,40.0,https://www.sec.gov/Archives/edgar/data/0001046179/000104617925000116/a3q25e_withguidancexfinal.htm,Record revenue; capex ramping (2026E guide $52-56B)
